,ID,age,sex
0,2,46.988543738942106,M
1,3,48.907245865559176,M
2,4,48.907245865559176,F
3,5,49.16790638449882,M
4,6,48.41761892932628,F
5,7,48.41761892932628,F
6,9,48.907245865559176,M
7,10,47.14704999174837,F
8,11,45.59989940766006,F
9,12,47.14704999174837,F
10,13,49.9095855659567,M
11,15,48.07815915685063,M
12,16,47.14704999174837,M
13,19,51.372251494930005,F
14,20,47.61538314496378,F
15,21,48.907245865559176,M
16,22,48.907245865559176,M
17,24,48.907245865559176,F
18,26,46.99947740689881,F
19,27,48.907245865559176,F
20,29,44.85115123453777,M
21,31,56.41532876628289,M
22,33,51.0194520036695,F
23,34,51.01668207115533,F
24,35,48.271334173099255,M
25,37,41.53558951084136,M
26,40,48.907245865559176,M
27,41,47.88538085980551,F
28,42,43.47528267109386,F
29,43,47.0927299504094,F
30,44,47.486250730305024,M
31,45,48.907245865559176,F
32,46,46.367703600698455,M
33,47,45.8419469889128,F
34,48,47.241070083371014,F
35,50,48.23078742022076,F
36,54,52.31268876770988,F
37,56,48.907245865559176,F
38,58,45.00643457488846,M
39,60,48.907245865559176,M
40,61,48.40511500016716,F
41,62,48.907245865559176,F
42,63,51.66634833195341,M
43,64,45.00643457488846,F
44,65,47.14704999174837,F
45,66,46.70883201385024,F
46,67,44.52919106890389,F
47,68,48.41761892932628,F
48,69,48.23078742022076,F
49,70,48.23078742022076,F
50,72,48.072098728311566,F
51,74,48.907245865559176,F
52,75,48.907245865559176,M
53,77,46.70883201385024,F
54,78,47.88538085980551,F
55,80,48.907245865559176,M
56,81,46.56368466580192,F
57,82,48.907245865559176,F
58,83,51.74486843047093,F
59,84,48.907245865559176,F
60,86,48.40511500016716,F
61,87,47.88538085980551,F
62,89,47.14704999174837,F
63,90,48.41761892932628,F
64,92,48.907245865559176,M
65,93,56.072891461590274,M
66,94,48.907245865559176,F
67,95,44.77736758366903,F
68,96,48.907245865559176,M
69,97,49.19956117515744,M
70,98,50.48516092223697,M
71,100,40.72829810680263,M
72,101,43.19732791090505,M
73,103,47.88538085980551,F
74,104,47.88538085980551,F
75,105,44.64726028478435,M
76,106,48.02134241265248,F
77,109,47.241070083371014,F
78,110,47.14704999174837,F
79,111,48.630489559058645,F
80,112,50.212907412211194,M
81,113,47.241070083371014,F
82,114,48.907245865559176,F
83,115,47.55038115667193,F
84,118,51.89102333246863,M
85,119,48.907245865559176,F
86,121,48.23078742022076,F
87,122,48.907245865559176,F
88,123,47.14704999174837,F
89,124,48.907245865559176,F
90,125,48.468619741992796,M
91,128,48.907245865559176,M
92,129,48.23078742022076,F
93,130,49.62248554516624,M
94,131,48.746646594319756,F
95,132,52.115379828162375,M
96,133,51.95415328366273,F
97,134,48.41761892932628,M
98,135,48.907245865559176,F
99,136,48.63724815071745,F
100,137,42.652857117477595,M
101,138,48.907245865559176,F
102,139,47.85278965935223,M
103,140,45.70395375025035,M
104,141,47.08149821168157,M
105,144,48.907245865559176,M
106,145,41.834595589248565,M
107,146,47.200916557518696,F
108,147,48.41761892932628,F
109,148,46.07804878430807,M
110,149,48.907245865559176,F
111,150,48.907245865559176,F
112,151,49.16790638449882,M
113,155,46.99947740689881,F
114,156,48.907245865559176,M
115,157,51.314295793854406,M
116,159,50.60257972869392,F
117,160,51.50351439988309,F
118,161,47.504202035733655,F
119,162,49.164535810926665,F
120,166,50.36435453912123,M
121,168,49.16790638449882,M
122,169,48.907245865559176,F
123,170,43.55910670818639,F
124,174,43.845352768914985,M
125,176,47.06572454959425,F
126,177,48.61685352897289,F
127,179,47.88538085980551,F
128,180,49.257117989574795,F
129,181,49.75861706273654,F
130,182,51.83538668661102,M
131,184,48.907245865559176,M
132,187,52.25237210059523,M
133,191,48.3750077960384,F
134,192,48.23078742022076,F
135,193,51.457472182963386,F
136,194,47.14704999174837,M
137,195,48.907245865559176,M
138,196,48.41761892932628,F
139,197,48.907245865559176,M
140,198,48.907245865559176,M
141,199,48.907245865559176,M
142,201,45.871843995328824,M
143,208,50.78413213327279,M
144,209,48.20234649145756,M
145,210,48.907245865559176,M
146,211,48.907245865559176,M
147,212,49.44712197702418,F
148,213,48.907245865559176,F
149,214,44.362123798453965,F
150,215,46.02925130767493,F
151,219,48.41761892932628,F
152,220,47.14704999174837,M
153,221,50.62543425175912,M
154,222,48.907245865559176,F
155,223,47.73315462703947,F
156,225,42.78563672763709,M
157,230,46.70883201385024,F
158,233,48.23078742022076,F
159,234,50.496287039228,F
160,256,51.25310607691704,M
161,257,48.907245865559176,M
162,258,48.907245865559176,M
163,259,48.907245865559176,M
164,260,48.907245865559176,F
165,261,51.259868662865856,M
166,262,47.14704999174837,F
167,263,49.221176982845556,M
168,264,49.72451999089434,M
169,265,50.36435453912123,M
170,266,50.36435453912123,M
171,267,50.493891651809555,M
172,268,50.36435453912123,M
173,269,49.893485647795856,F
174,270,48.907245865559176,M
175,271,48.907245865559176,F
176,272,51.464918981525756,F
177,273,49.43738955368399,M
178,274,46.97347903295045,F
179,275,48.23078742022076,F
180,276,51.00057062375257,M
181,278,49.19789125860775,F
182,279,50.97132423930669,M
183,280,48.907245865559176,F
184,281,48.907245865559176,F
185,282,48.907245865559176,F
186,283,48.907245865559176,F
187,284,48.907245865559176,M
188,285,48.907245865559176,M
189,286,48.907245865559176,M
190,287,48.907245865559176,F
191,288,49.19789125860775,F
192,289,48.35492052474425,F
193,290,48.40511500016716,F
194,291,51.73974588501201,M
195,292,48.907245865559176,M
196,293,48.907245865559176,F
197,294,48.907245865559176,F
198,295,47.877375002857114,F
199,296,45.84435585418066,F
200,297,52.81850063239492,F
201,298,48.907245865559176,M
202,299,48.35492052474425,F
203,300,49.13995888818086,M
204,301,48.907245865559176,F
205,302,48.907245865559176,F
206,303,48.907245865559176,M
207,304,50.36435453912123,M
208,305,48.40961307237789,F
209,306,50.36435453912123,M
210,307,49.19789125860775,F
211,308,48.907245865559176,F
212,309,48.907245865559176,F
213,310,48.907245865559176,F
214,311,49.221176982845556,M
215,314,48.41761892932628,M
216,315,51.167273590945,M
217,316,48.40511500016716,F
218,317,48.196372546774086,M
219,318,48.907245865559176,F
220,319,48.907245865559176,F
221,320,48.907245865559176,F
222,321,52.36219794367641,F
223,322,48.57646075446825,F
224,323,49.71796069682406,M
225,324,50.00157446731211,M
226,325,48.907245865559176,F
227,326,48.907245865559176,M
228,327,48.907245865559176,F
229,328,49.56125019571865,F
230,329,48.35564437707857,M
231,330,43.765357209754804,F
232,331,48.35492052474425,F
233,332,51.74486843047093,F
234,333,48.23078742022076,F
235,334,47.14704999174837,M
236,335,48.907245865559176,F
237,336,48.907245865559176,F
238,338,49.5693821216952,M
239,339,49.221176982845556,M
240,340,45.57030465333963,M
241,341,48.907245865559176,F
242,342,48.907245865559176,M
243,343,47.14704999174837,F
244,344,48.907245865559176,F
245,345,48.907245865559176,F
246,346,51.83538668661102,M
247,347,48.49836926888884,F
248,348,47.68692610321337,M
249,349,49.164535810926665,F
250,350,45.668330797377976,M
251,351,50.01448241510561,F
252,352,51.15177629560945,F
253,353,51.3671970285237,M
254,354,49.257117989574795,M
255,355,50.712783363430596,F
